Time_Step,State_Freq_Dev,State_Volt_Dev,State_Load_Imbalance,State_Power_Flow_Dev,Nominal_Freq_Dev,Nominal_Volt_Dev,Nominal_Load_Imbalance,Nominal_Power_Flow_Dev,Control_u1,Control_u2,Control_u3,Control_u4,Disturbance_d1,Disturbance_d2,Disturbance_d3,Disturbance_d4,Resource_Availability_R,Attack_Severity_S,FDI_Active,DoS_Active,Replay_Active,Control_Attack_Active
0,0.05,0.02,0.01,0.03,0.05,0.02,0.01,0.03,-0.017150062549494298,-0.005938409807627382,-0.0037973229582417786,-0.009568219445080598,0.007155747206965666,0.011215690527364689,0.021661024863505542,0.02107604104069806,0.9834204979048956,0.9999999898314099,False,False,False,False
1,0.04447845497244296,0.020771618204852307,0.014439060540188621,0.029615053323356677,0.04160000000000001,0.0174,0.009600000000000001,0.024900000000000002,-0.004425200432210394,-0.0017885039494801977,-0.0015315311749536599,-0.002727231990375869,-0.027553387359141823,-0.018756500798302458,0.010300705344173195,0.010275719018244176,0.0,0.0363688109386191,False,False,False,False
2,0.03586253017400303,0.01669542069745166,0.01529470631710032,0.028196927999604188,0.03463400000000001,0.015118000000000001,0.009063000000000002,0.020706000000000002,-0.006320287485049767,-0.0026644137286804606,-0.0027797924447028693,-0.004737517711404511,0.010300953726120958,0.07705462981309442,0.01141781021386334,0.02271131280361198,0.9580137628788268,0.08179056022943,False,False,False,False
3,0.036997116093499205,0.02744331148043795,0.019961905132942607,0.03060896888177853,0.028853420000000015,0.01311952,0.008445830000000001,0.017250810000000005,-0.012659046935606103,-0.008346741804652724,-0.007076595746604124,-0.009670469300185268,0.019080035269864046,0.01302782502611596,-0.006305384892806912,0.015179384409865349,0.0,0.02835389850654139,False,False,False,False
4,0.03510468885429764,0.026536631123729445,0.018633307382773977,0.028880594168094763,0.02405339000000001,0.011372796200000002,0.0077899536000000024,0.014399039100000004,-0.006279137188458273,-0.004438228312036414,-0.003406298437161185,-0.0049302111654054084,-0.015456504290751436,-0.004736372134800178,-0.00970727095658207,0.0016374827877264511,0.9259297492413504,0.0189274722346628,False,False,False,False
5,0.028836927262292048,0.022728281468788625,0.015935666412803827,0.025601704868637033,0.020064963686000012,0.009848831794000002,0.007125088585000002,0.012040910670000004,-0.002827206179852349,-0.001916580446132188,-0.0016334447199787758,-0.0022675712550958645,0.046293171333470176,-0.03734530385183496,0.01372520380749027,-0.03225431742379303,0.0,0.06903949336378308,False,False,False,False
6,0.03190714442826826,0.01702616526506258,0.01634578958270882,0.018754379794709973,0.016748735176340013,0.008521354798560003,0.0064720274815300025,0.010087299406950004,-0.019408707046352024,-0.009387591733633427,-0.01019901288585253,-0.010690583315362235,-0.00943863731578867,0.021779011939347323,0.0012856003819092553,-0.021554895558586123,0.9359766761922611,0.03208861988800317,False,False,False,False
7,0.024278709002628587,0.016485343790338655,0.013363083640225305,0.012218284813072303,0.013989603488555609,0.007366712639991002,0.005844828887849603,0.008465746338144902,-0.0024862680559292654,-0.0013878949634549807,-0.0014397751413360931,-0.0010490527420986215,-0.014306074185199365,0.013591954978693517,-0.014607332634342734,0.004329171791639498,0.0,0.02493032077264792,False,False,False,False
8,0.02035831771874352,0.01652957988946513,0.010721610236102016,0.011719385499146143,0.011692476239815331,0.0063637258859208165,0.005252514619859337,0.007117256863914308,-0.003654496485581797,-0.002652987793944056,-0.0019984366750078176,-0.0018939832393139232,0.0009114367980762757,-0.013032006952116343,0.04287888178650651,0.012678380446360224,0.9353564955162791,0.0465832991128875,False,False,False,False
9,0.018911712258353062,0.014743065503192567,0.017148686344680093,0.013566584905956698,0.009778742293226197,0.005493517784789355,0.004700379358119095,0.0059937260670055136,-0.006550039130587827,-0.004049424389490033,-0.006054990114453178,-0.00393514274218367,-0.04050285173315214,0.003729086295388553,-0.01323572929536776,0.01704866669592448,0.0,0.04604594063764081,False,False,False,False
10,0.010183065233028251,0.012375929467010681,0.013002435163958496,0.013841714352378538,0.008183374213989162,0.0047393318387062835,0.0041909970049448025,0.005055866755688094,-0.0018867442692610471,-0.0019365662837996084,-0.002404345772209244,-0.0022727869042093057,-0.015850414768654012,-0.0022947288293379805,0.010099745579609144,0.01731510388340243,0.9220019382934634,0.025657730063363214,False,False,False,False
